name,address,lat,lon
POTTER VLY HIGH SCHL MULTIPURPOSE,10401 MAIN ST  POTTER VALLEY 95469,39.32112,-123.1047
WILLITS COMMUNITY CTR-REC HALL,111 E COMMERCIAL ST  Willits 95490,39.41235,-123.35308
KEN FOWLER MOTORS,1265 AIRPORT PARK BLVD  UKIAH 95482,39.12851,-123.19682
CASPAR COMMUNITY CENTER,150051 CASPAR RD  CASPAR 95420,39.36809,-123.81517
HOPLAND FIRE,20 FELIZ CREEK RD  HOPLAND 95449,38.98312,-123.15545
BROOKTRAILS COMMUNITY CENTER,24860 BIRCH ST  WILLITS 95490,39.43708,-123.38495
THURSTON AUTO PLAZA,2800 N STATE ST  UKIAH 95482,39.18839,-123.21016
C V STARR CENTER,300 S LINCOLN AVE  FORT BRAGG 95437,39.43921,-123.79472
CHAPEL OF THE REDWOODS,31201 COMPTCHE/UKIAH RD  Comptche 95427,39.26476,-123.5941
WHITESBORO GRANGE - ALBION,32510 NAVARRO RIDGE RD  ALBION 95410,39.20042,-123.74271
FB VETERANS MEMORIAL BLDG,360 N HARRISON ST  FORT BRAGG 95437,39.44533,-123.80139
UKIAH ASSEMBLY OF GOD CHURCH,395 N BARNES ST  UKIAH 95482,39.15079,-123.21689
THE WOODS CLUBHOUSE,43300 Little River Airport Rd  Little River 95460,39.26896,-123.75423
MENDOCINO FIRE - MEETING RM,44700 LITTLE LAKE RD  MENDOCINO 95460,39.31068,-123.79476
LAYTONVILLE LIONS FIRE HALL,44920 WILLIS AVE  LAYTONVILLE 95454,39.68663,-123.48527
VETERANS MEMORIAL BLDG,451 SCHOOL ST  POINT ARENA 95468,38.91651,-123.70376
COMMUNITY CENTER - MAIN HALL,47950 CENTER ST  GUALALA 95445,38.76671,-123.52779
Mendocino County Clerk-Recorder,501 Low Gap Rd  Ukiah 95482,39.15902,-123.21552
COUNTY ADMIN BLDG (CONF ROOM A),501 LOW GAP RD  Ukiah 95482,39.15902,-123.21552
NEW LIFE COMMUNITY CHURCH,750 YOSEMITE DR  UKIAH 95482,39.15065,-123.19488
REDWOOD VALLEY GRANGE HALL,8650 EAST RD  REDWOOD VALLEY 95470,39.26738,-123.20511
ST. MARYS CHURCH PARISH HALL,900 S OAK ST  UKIAH 95482,39.14064,-123.20801
MENDOCINO COUNTY FAIRGROUNDS,DINING ROOM  BOONVILLE 95415,39.00884,-123.36775
